category,idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
Bottle,583,120ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=583,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:36:54.866086,crawled_products/idx_583.json
Bottle,584,60ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=584,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:59:45.000571,crawled_products/idx_584.json
Bottle,585,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=585,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:45:43.745277,crawled_products/idx_585.json
Bottle,587,120ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=587,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:37:33.211918,crawled_products/idx_587.json
Bottle,588,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=588,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T12:51:03.583844,crawled_products/idx_588.json
Bottle,589,350ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=589,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:38.690771,crawled_products/idx_589.json
Bottle,590,130ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=590,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:00:32.280068,crawled_products/idx_590.json
Bottle,592,120ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=592,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:39:05.325846,crawled_products/idx_592.json
Bottle,593,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=593,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:46:59.078180,crawled_products/idx_593.json
Bottle,594,100ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=594,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:56:49.873369,crawled_products/idx_594.json
Bottle,595,70ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=595,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:32:08.912012,crawled_products/idx_595.json
Bottle,596,170ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=596,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:58:25.059510,crawled_products/idx_596.json
Bottle,597,250ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=597,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:48:34.472237,crawled_products/idx_597.json
Bottle,598,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=598,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:59:16.787995,crawled_products/idx_598.json
Bottle,599,140ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=599,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:46:40.560795,crawled_products/idx_599.json
Bottle,600,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=600,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:55:23.248840,crawled_products/idx_600.json
Bottle,601,400ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=601,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:34:20.225490,crawled_products/idx_601.json
Bottle,602,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=602,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:03:48.955187,crawled_products/idx_602.json
Bottle,603,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=603,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:54:17.561499,crawled_products/idx_603.json
Bottle,606,420ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=606,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T12:40:56.177318,crawled_products/idx_606.json
Bottle,607,80ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=607,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:50:26.874267,crawled_products/idx_607.json
Bottle,608,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=608,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:56:40.490915,crawled_products/idx_608.json
Bottle,609,450ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=609,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:35:48.556686,crawled_products/idx_609.json
Bottle,610,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=610,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:30:09.165480,crawled_products/idx_610.json
Bottle,611,170ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=611,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:48:23.527204,crawled_products/idx_611.json
Bottle,612,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=612,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:47:26.435554,crawled_products/idx_612.json
Bottle,615,200ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=615,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:35:16.167904,crawled_products/idx_615.json
Bottle,616,400ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=616,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:44:11.268178,crawled_products/idx_616.json
Bottle,617,30ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=617,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:53:41.191129,crawled_products/idx_617.json
Bottle,619,10ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=619,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:30:36.403763,crawled_products/idx_619.json
Bottle,620,260ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=620,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:40:01.569574,crawled_products/idx_620.json
Bottle,621,180ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=621,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:43:16.779923,crawled_products/idx_621.json
Bottle,622,160ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=622,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:40:19.937892,crawled_products/idx_622.json
Bottle,623,300ml 거품브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=623,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:49:41.070740,crawled_products/idx_623.json
